Month,Return (%),Balance ($),Win Rate (%),Status
2020-10,23.0,294728660.86,100.0,✅ PASS
2020-11,7.14,315781721.51,100.0,🛡️ SAFE
2020-12,24.61,393487848.53,87.5,✅ PASS
2021-01,7.14,421595476.46,100.0,🛡️ SAFE
2021-02,16.3,490315545.18,83.3,🛡️ SAFE
2021-03,23.0,603072484.55,100.0,✅ PASS
2021-04,10.9,668831070.16,100.0,🛡️ SAFE
2021-05,10.9,741759924.18,100.0,🛡️ SAFE
2021-06,15.39,855938001.42,71.4,🛡️ SAFE
2021-07,18.78,1016680773.46,66.7,🛡️ SAFE
2021-08,24.61,1266860945.2,87.5,✅ PASS
2021-09,23.0,1558198562.75,100.0,✅ PASS
2021-10,24.61,1941632964.39,87.5,✅ PASS
2021-11,26.24,2451105247.34,80.0,✅ PASS
2021-12,18.96,2915841357.42,85.7,🛡️ SAFE
2022-01,23.0,3586391884.26,100.0,✅ PASS
2022-02,23.0,4411147648.61,100.0,✅ PASS
2022-03,24.61,5496622760.46,87.5,✅ PASS
2022-04,23.0,6760670709.6,100.0,✅ PASS
2022-05,23.0,8315409376.9,100.0,✅ PASS
2022-06,23.0,10227688357.49,100.0,✅ PASS
2022-07,7.15,10959370248.35,60.0,🛡️ SAFE
2022-08,20.38,13193123502.49,85.7,✅ PASS
2022-09,26.24,16654916165.33,80.0,✅ PASS
2022-10,24.61,20753282039.17,87.5,✅ PASS
2022-11,11.03,23042208544.74,80.0,🛡️ SAFE
2022-12,24.61,28712330220.53,87.5,✅ PASS
2023-01,11.03,31879078186.2,80.0,🛡️ SAFE
2023-02,3.51,32998033830.54,100.0,🛡️ SAFE
2023-03,20.38,39723736473.92,85.7,✅ PASS
2023-04,23.0,48858929084.03,100.0,✅ PASS
2023-05,24.61,60881911703.83,87.5,✅ PASS
2023-06,0.0,60881911703.83,0.0,🛡️ SAFE
2023-07,13.83,69300469701.75,71.4,🛡️ SAFE
2023-08,10.04,76257458422.69,75.0,🛡️ SAFE
2023-09,19.8,91358605465.33,66.7,🛡️ SAFE
2023-10,7.14,97884534284.52,100.0,🛡️ SAFE
2023-11,13.87,111461758449.97,60.0,🛡️ SAFE
2023-12,23.0,137094408409.03,100.0,✅ PASS
2024-01,8.55,148810934768.35,75.0,🛡️ SAFE
2024-02,24.61,185429651467.59,87.5,✅ PASS
2024-03,23.0,228072558005.19,100.0,✅ PASS
2024-04,24.61,284195613756.86,87.5,✅ PASS
2024-05,18.03,335442839246.95,75.0,🛡️ SAFE
2024-06,3.51,347216882904.52,100.0,🛡️ SAFE
2024-07,23.0,427065693322.88,100.0,✅ PASS
2024-08,23.0,525277183781.13,100.0,✅ PASS
2024-09,26.24,663106614425.9,80.0,✅ PASS
2024-10,26.24,837101621148.28,80.0,✅ PASS
2024-11,12.36,940536370803.77,80.0,🛡️ SAFE
2024-12,23.0,1156829742645.74,100.0,✅ PASS
2025-01,23.0,1422863692475.98,100.0,✅ PASS
2025-02,14.8,1633399927092.54,100.0,🛡️ SAFE
2025-03,24.61,2035339537779.5,87.5,✅ PASS
2025-04,24.61,2536186616233.25,87.5,✅ PASS
2025-05,22.1,3096592871996.71,72.7,✅ PASS
2025-06,23.0,3808710483071.75,100.0,✅ PASS
2025-07,23.0,4684592435461.79,100.0,✅ PASS
2025-08,24.61,5837355594382.84,87.5,✅ PASS
2025-09,3.51,6042246775745.68,100.0,🛡️ SAFE
2025-10,0.03,6043795734075.86,40.0,🛡️ SAFE
2025-11,23.0,7433676017950.72,100.0,✅ PASS
2025-12,23.01,9144100203241.22,77.8,✅ PASS
2026-01,24.61,11394238711766.53,87.5,✅ PASS
