Month,Starting Balance,Ending Balance,Net Profit,Return %,Max DD %,Trades,Win Rate %,Avg Lot Size,Profit Factor,Status,Classification
2021-11,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2021-12,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2022-01,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2022-02,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2022-03,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2022-04,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2022-05,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2022-06,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2022-07,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2022-08,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2022-09,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2022-10,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2022-11,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2022-12,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2023-01,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2023-02,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2023-03,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2023-04,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2023-05,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2023-06,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2023-07,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2023-08,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2023-09,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2023-10,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2023-11,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2023-12,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2024-01,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2024-02,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2024-03,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2024-04,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2024-05,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2024-06,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2024-07,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2024-08,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2024-09,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2024-10,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2024-11,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2024-12,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
2025-01,"$101,678.44","$101,678.44",$0.00,0.00%,0.00%,0,0.0%,0.00,0.00,⏸️ Inactive,No Trades
